Airport.Code,Airport.Name,Time.Label,Time.Month,Time.Month Name,Time.Year,Statistics.# of Delays.Carrier,Statistics.# of Delays.Late Aircraft,Statistics.# of Delays.National Aviation System,Statistics.# of Delays.Security,Statistics.# of Delays.Weather
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jun-03,6,June,2003,1009,1275,3217,17,328
BOS,"Boston, MA: Logan International",Jun-03,6,June,2003,374,495,685,3,66
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jun-03,6,June,2003,296,477,389,8,78
CLT,"Charlotte, NC: Charlotte Douglas International",Jun-03,6,June,2003,300,472,735,2,54
DCA,"Washington, DC: Ronald Reagan Washington National",Jun-03,6,June,2003,283,268,487,4,58
DEN,"Denver, CO: Denver International",Jun-03,6,June,2003,516,323,664,11,98
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jun-03,6,June,2003,986,1390,2147,19,258
DTW,"Detroit, MI: Detroit Metro Wayne County",Jun-03,6,June,2003,376,371,570,6,71
EWR,"Newark, NJ: Newark Liberty International",Jun-03,6,June,2003,322,519,1948,10,121
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jun-03,6,June,2003,247,256,427,5,34
IAD,"Washington, DC: Washington Dulles International",Jun-03,6,June,2003,320,295,573,3,66
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jun-03,6,June,2003,329,730,1405,15,123
JFK,"New York, NY: John F. Kennedy International",Jun-03,6,June,2003,376,226,394,21,28
LAS,"Las Vegas, NV: McCarran International",Jun-03,6,June,2003,511,678,624,17,64
LAX,"Los Angeles, CA: Los Angeles International",Jun-03,6,June,2003,830,765,842,37,97
LGA,"New York, NY: LaGuardia",Jun-03,6,June,2003,302,338,867,4,94
MCO,"Orlando, FL: Orlando International",Jun-03,6,June,2003,368,434,535,3,48
MDW,"Chicago, IL: Chicago Midway International",Jun-03,6,June,2003,180,411,311,12,39
MIA,"Miami, FL: Miami International",Jun-03,6,June,2003,247,210,585,2,66
MSP,"Minneapolis, MN: Minneapolis-St Paul International",Jun-03,6,June,2003,428,376,759,9,106
ORD,"Chicago, IL: Chicago O'Hare International",Jun-03,6,June,2003,801,982,2947,11,157
PDX,"Portland, OR: Portland International",Jun-03,6,June,2003,193,248,213,11,22
PHL,"Philadelphia, PA: Philadelphia International",Jun-03,6,June,2003,338,565,1083,1,64
PHX,"Phoenix, AZ: Phoenix Sky Harbor International",Jun-03,6,June,2003,491,569,664,19,41
SAN,"San Diego, CA: San Diego International",Jun-03,6,June,2003,324,349,341,8,30
SEA,"Seattle, WA: Seattle/Tacoma International",Jun-03,6,June,2003,448,552,454,28,36
SFO,"San Francisco, CA: San Francisco International",Jun-03,6,June,2003,416,312,1080,14,59
SLC,"Salt Lake City, UT: Salt Lake City International",Jun-03,6,June,2003,363,290,352,15,36
TPA,"Tampa, FL: Tampa International",Jun-03,6,June,2003,226,327,524,3,42
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",Jul-03,7,July,2003,1259,1791,4022,13,367
BOS,"Boston, MA: Logan International",Jul-03,7,July,2003,450,587,609,0,61
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Jul-03,7,July,2003,387,646,544,4,102
CLT,"Charlotte, NC: Charlotte Douglas International",Jul-03,7,July,2003,335,542,945,0,74
DCA,"Washington, DC: Ronald Reagan Washington National",Jul-03,7,July,2003,343,270,573,3,74
DEN,"Denver, CO: Denver International",Jul-03,7,July,2003,562,434,646,2,111
DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",Jul-03,7,July,2003,1216,1443,2081,18,244
DTW,"Detroit, MI: Detroit Metro Wayne County",Jul-03,7,July,2003,475,448,816,4,145
EWR,"Newark, NJ: Newark Liberty International",Jul-03,7,July,2003,410,706,1665,11,125
FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",Jul-03,7,July,2003,262,328,412,6,35
IAD,"Washington, DC: Washington Dulles International",Jul-03,7,July,2003,395,406,671,10,84
IAH,"Houston, TX: George Bush Intercontinental/Houston",Jul-03,7,July,2003,441,960,1506,9,115
